Flight Number,Type,Origin,Destination,Departure Time,Estimated Arrival Time
DAL2074,B739,Minneapolis/St Paul Intl (KMSP),Indianapolis Intl (KIND),Wed 08:33PM CST,Wed 10:43PM EST
DAL2094,BCS1,New Orleans Intl (KMSY),John F Kennedy Intl (KJFK),Wed 08:16PM CST,Wed 11:35PM EST
DAL2099,A321,Detroit Metro Wayne Co (KDTW),Rhode Island T. F. Green International Airport (KPVD),Wed 09:26PM EST,Wed 10:39PM EST
DAL2120,B739,Hartsfield-Jackson Intl (KATL),Kansas City Intl (KMCI),Wed 10:10PM EST,Wed 10:45PM CST
DAL2132,A321,Hartsfield-Jackson Intl (KATL),Memphis Intl (KMEM),Wed 10:13PM EST,Wed 10:12PM CST
DAL2148,B739,Minneapolis/St Paul Intl (KMSP),Raleigh-Durham Intl (KRDU),Wed 09:10PM CST,Thu 12:08AM EST
DAL2153,A321,Minneapolis/St Paul Intl (KMSP),Gerald R Ford Intl (KGRR),Wed 09:17PM CST,Wed 11:14PM EST
DAL216,B763,John F Kennedy Intl (KJFK),Blaise Diagne (DSS / GOBD),Wed 08:19PM EST,Thu 07:53AM GMT
DAL2176,A319,Salt Lake City Intl (KSLC),Jackson Hole (KJAC),Wed 08:35PM MST,Wed 09:08PM MST
DAL220,A339,Salt Lake City Intl (KSLC),Charles de Gaulle/Roissy (CDG / LFPG),Wed 02:16PM MST,Thu 07:11AM CET
DAL2209,BCS1,Boston Logan Intl (KBOS),Cincinnati/Northern Kentucky International Airport (KCVG),Wed 08:34PM EST,Wed 10:44PM EST
DAL2211,BCS1,LaGuardia (KLGA),Syracuse Hancock Intl (KSYR),Wed 10:14PM EST,Wed 10:52PM EST
DAL2213,B712,Hartsfield-Jackson Intl (KATL),Blue Grass (KLEX),Wed 10:04PM EST,Wed 10:50PM EST
DAL2222,B739,Hartsfield-Jackson Intl (KATL),Pensacola Intl (KPNS),Wed 10:12PM EST,Wed 09:57PM CST
DAL2240,B712,Detroit Metro Wayne Co (KDTW),Richmond Intl (KRIC),Wed 09:37PM EST,Wed 10:40PM EST
DAL226,B764,São Paulo-Guarulhos Int'l (GRU / SBGR),John F Kennedy Intl (KJFK),Wed 09:37PM -03,Thu 05:05AM EST
DAL227,B764,John F Kennedy Intl (KJFK),São Paulo-Guarulhos Int'l (GRU / SBGR),Wed 09:58PM EST,Thu 09:02AM -03
DAL2275,B712,Hartsfield-Jackson Intl (KATL),Asheville Rgnl (KAVL),Wed 10:19PM EST,Wed 10:50PM EST
DAL2280,A320,Minneapolis/St Paul Intl (KMSP),Reagan National (KDCA),Wed 08:34PM CST,Wed 11:29PM EST
DAL2290,B738,Fort Lauderdale Intl (KFLL),Boston Logan Intl (KBOS),Wed 08:43PM EST,Wed 11:18PM EST
DAL2293,A321,Detroit Metro Wayne Co (KDTW),LaGuardia (KLGA),Wed 09:57PM EST,Wed 11:03PM EST
DAL230,B763,Raleigh-Durham Intl (KRDU),Charles de Gaulle/Roissy (CDG / LFPG),Wed 07:58PM EST,Thu 09:21AM CET
DAL2306,B712,Hartsfield-Jackson Intl (KATL),Des Moines Intl (KDSM),Wed 10:17PM EST,Wed 10:59PM CST
DAL2307,B738,Hartsfield-Jackson Intl (KATL),Piedmont Triad Intl (KGSO),Wed 09:56PM EST,Wed 10:39PM EST
DAL232,A339,Minneapolis/St Paul Intl (KMSP),Charles de Gaulle/Roissy (CDG / LFPG),Wed 07:14PM CST,Thu 09:30AM CET
DAL2321,B739,Hartsfield-Jackson Intl (KATL),El Paso Intl (KELP),Wed 08:05PM EST,Wed 09:03PM MST
DAL2323,B739,Minneapolis/St Paul Intl (KMSP),Portland Intl (KPDX),Wed 06:25PM CST,Wed 07:37PM PST
DAL2338,B752,Hartsfield-Jackson Intl (KATL),Norfolk Intl (KORF),Wed 10:34PM EST,Wed 11:40PM EST
DAL235,A339,Ben Gurion Int'l (TLV / LLBG),John F Kennedy Intl (KJFK),Thu 12:20AM IST,Thu 05:16AM EST
DAL2352,B712,Detroit Metro Wayne Co (KDTW),Charlotte/Douglas Intl (KCLT),Wed 09:43PM EST,Wed 10:59PM EST
DAL2372,BCS1,San Jose Int'l (KSJC),Salt Lake City Intl (KSLC),Wed 07:10PM PST,Wed 09:39PM MST
DAL2377,A319,Hartsfield-Jackson Intl (KATL),Chicago Midway Intl (KMDW),Wed 09:54PM EST,Wed 10:14PM CST
DAL238,A359,Hartsfield-Jackson Intl (KATL),OR Tambo Int'l (JNB / FAOR),Wed 06:15PM EST,Thu 04:02PM SAST
DAL2388,B739,Harry Reid Intl (KLAS),Seattle-Tacoma Intl (KSEA),Wed 06:52PM PST,Wed 09:00PM PST
DAL239,A359,Cape Town Int'l (CPT / FACT),Hartsfield-Jackson Intl (KATL),Thu 12:08AM SAST,Thu 08:11AM EST
DAL2402,B712,Detroit Metro Wayne Co (KDTW),Philadelphia Intl (KPHL),Wed 10:05PM EST,Wed 11:13PM EST
DAL2419,B738,Seattle-Tacoma Intl (KSEA),Ontario Intl (KONT),Wed 07:32PM PST,Wed 09:25PM PST
DAL2423,B712,Hartsfield-Jackson Intl (KATL),Will Rogers World (KOKC),Wed 09:50PM EST,Wed 10:34PM CST
DAL2428,B738,San Diego Intl (KSAN),Seattle-Tacoma Intl (KSEA),Wed 07:33PM PST,Wed 10:04PM PST
DAL2459,A319,Portland Intl (KPDX),Los Angeles Intl (KLAX),Wed 07:33PM PST,Wed 09:23PM PST
DAL2466,BCS1,Boston Logan Intl (KBOS),Frederick Douglass/Greater Rochester Intl (KROC),Wed 10:28PM EST,Wed 11:31PM EST
DAL2474,B739,Hartsfield-Jackson Intl (KATL),St Louis Lambert Intl (KSTL),Wed 10:26PM EST,Wed 10:42PM CST
DAL2475,A319,LaGuardia (KLGA),Southwest Florida Intl (KRSW),Wed 08:16PM EST,Wed 10:52PM EST
DAL2488,A320,LaGuardia (KLGA),Hartsfield-Jackson Intl (KATL),Wed 09:39PM EST,Wed 11:31PM EST
DAL2495,A321,John F Kennedy Intl (KJFK),Miami Intl (KMIA),Wed 08:56PM EST,Wed 11:17PM EST
DAL2537,BCS1,Boston Logan Intl (KBOS),Raleigh-Durham Intl (KRDU),Wed 09:29PM EST,Wed 10:57PM EST
DAL2539,A321,Hartsfield-Jackson Intl (KATL),San Antonio Intl (KSAT),Wed 10:16PM EST,Wed 11:34PM CST
DAL2540,A319,Hartsfield-Jackson Intl (KATL),Joe Foss Fld (KFSD),Wed 10:11PM EST,Wed 11:14PM CST
DAL258,A333,Boston Logan Intl (KBOS),Amsterdam Schiphol (AMS / EHAM),Wed 07:19PM EST,Thu 07:34AM CET
DAL2580,A319,Detroit Metro Wayne Co (KDTW),Reagan National (KDCA),Wed 09:56PM EST,Wed 10:57PM EST
DAL2603,B739,Hartsfield-Jackson Intl (KATL),Pittsburgh Intl (KPIT),Wed 10:28PM EST,Wed 11:42PM EST
DAL2608,B739,Minneapolis/St Paul Intl (KMSP),Tampa Intl (KTPA),Wed 08:09PM CST,Thu 12:03AM EST
DAL262,A339,John F Kennedy Intl (KJFK),Charles de Gaulle/Roissy (CDG / LFPG),Wed 08:06PM EST,Thu 08:29AM CET
DAL2626,B738,Hartsfield-Jackson Intl (KATL),The Eastern Iowa (KCID),Wed 09:05PM EST,Wed 09:38PM CST
DAL2640,A320,Hartsfield-Jackson Intl (KATL),Toronto Pearson Int'l (CYYZ),Wed 09:49PM EST,Wed 11:24PM EST
DAL2642,B739,Hartsfield-Jackson Intl (KATL),Philadelphia Intl (KPHL),Wed 10:10PM EST,Wed 11:39PM EST
DAL2655,B738,Hartsfield-Jackson Intl (KATL),Nashville Intl (KBNA),Wed 10:00PM EST,Wed 09:37PM CST
DAL2666,BCS3,San Diego Intl (KSAN),Salt Lake City Intl (KSLC),Wed 07:21PM PST,Wed 10:06PM MST
DAL2686,B739,Minneapolis/St Paul Intl (KMSP),Baltimore/Washington Intl (KBWI),Wed 08:23PM CST,Wed 11:17PM EST
DAL269,A333,Hartsfield-Jackson Intl (KATL),São Paulo-Guarulhos Int'l (GRU / SBGR),Wed 09:47PM EST,Thu 08:41AM -03
DAL2715,A321,Detroit Metro Wayne Co (KDTW),Baltimore/Washington Intl (KBWI),Wed 10:33PM EST,Wed 11:29PM EST
DAL2717,A320,Detroit Metro Wayne Co (KDTW),Buffalo Niagara Intl (KBUF),Wed 10:07PM EST,Wed 10:44PM EST
DAL272,B763,John F Kennedy Intl (KJFK),General Humberto Delgado Airport (LIS / LPPT),Wed 09:37PM EST,Thu 09:00AM WET
