Flight Number,Origin,Destination,Departure Time,Estimated Arrival Time
1551,LAX,SEA,Wed 07:27PM PST,Wed 09:42PM PST
1553,JFK,TPA,Wed 08:19PM EST,Wed 10:41PM EST
1557,MSP,IAH,Wed 08:39PM CST,Wed 11:17PM CST
1569,SEA,LAX,Wed 05:41PM PST,Wed 07:36PM PST
157,ACC,JFK,Wed 11:08PM GMT,Thu 04:50AM EST
1575,DEN,SEA,Wed 06:37PM MST,Wed 08:03PM PST
158,ICN,DTW,Thu 10:52AM KST,Thu 09:00AM EST
159,DTW,ICN,Wed 12:06PM EST,Thu 04:28PM KST
16,DTW,LHR,Wed 06:14PM EST,Thu 06:04AM GMT
1602,ORD,DTW,Wed 09:24PM CST,Wed 11:07PM EST
1612,DTW,AUS,Wed 07:51PM EST,Wed 09:46PM CST
162,MSP,AMS,Wed 07:42PM CST,Thu 09:55AM CET
1622,DTW,BOS,Wed 09:34PM EST,Wed 10:49PM EST
1629,JFK,RSW,Wed 08:25PM EST,Wed 11:00PM EST
1643,LGA,TPA,Wed 08:45PM EST,Wed 11:07PM EST
167,SEA,HND,Wed 11:27AM PST,Thu 02:44PM JST
168,JFK,BCN,Wed 09:00PM EST,Thu 10:08AM CET
1687,ONT,SEA,Wed 07:10PM PST,Wed 09:25PM PST
1689,PHX,SEA,Wed 08:11PM MST,Wed 09:44PM PST
1690,ATL,CVG,Wed 10:12PM EST,Wed 11:11PM EST
1695,MIA,LGA,Wed 08:30PM EST,Wed 10:52PM EST
171,MSP,ICN,Wed 10:31AM CST,Thu 02:59PM KST
172,JFK,MXP,Wed 09:10PM EST,Thu 10:27AM CET
1749,MSP,RSW,Wed 06:35PM CST,Wed 10:36PM EST
178,PDX,AMS,Wed 05:45PM PST,Thu 11:35AM CET
1837,SJD,SEA,Wed 05:31PM MST,Wed 08:37PM PST
197,SEA,ICN,Wed 11:13AM PST,Thu 03:57PM KST
20,SEA,LHR,Wed 07:12PM PST,Thu 11:51AM GMT
2001,DTW,EWR,Wed 10:30PM EST,Wed 11:27PM EST
2029,JFK,BOS,Wed 10:29PM EST,Wed 11:02PM EST
2036,LAX,LAS,Wed 07:31PM PST,Wed 08:12PM PST
2051,ATL,HOU,Wed 09:00PM EST,Wed 10:00PM CST
2064,ATL,PVD,Wed 08:56PM EST,Wed 10:44PM EST
2074,MSP,IND,Wed 08:33PM CST,Wed 10:43PM EST
2094,MSY,JFK,Wed 08:16PM CST,Wed 11:35PM EST
2099,DTW,PVD,Wed 09:26PM EST,Wed 10:39PM EST
2120,ATL,MCI,Wed 10:10PM EST,Wed 10:45PM CST
2132,ATL,MEM,Wed 10:13PM EST,Wed 10:12PM CST
2148,MSP,RDU,Wed 09:10PM CST,Thu 12:08AM EST
2153,MSP,GRR,Wed 09:17PM CST,Wed 11:14PM EST
216,JFK,DSS,Wed 08:19PM EST,Thu 07:53AM GMT
2176,SLC,JAC,Wed 08:35PM MST,Wed 09:08PM MST
